$FILENAME single/misc/lemforum-outtakes/castlesinthesky.txt
$LEVEL_BUILT_REQUIRED 2012-03-11 20:00:02
$GAME_VERSION_REQUIRED 0.9.25

+PLAYER 0 Garden Forestidia

! 94 0 ASSIGN=FLOATER 0
! 162 0 ASSIGN=PLATFORMER 0
! 269 0 ASSIGN=FLOATER 3
! 321 0 ASSIGN=CLIMBER 0
! 325 0 ASSIGN=CLIMBER 3
! 326 0 ASSIGN=FLOATER 4
! 374 0 ASSIGN=FLOATER 5
! 419 0 ASSIGN=BUILDER 5
! 420 0 ASSIGN=CLIMBER 4
! 446 0 ASSIGN=FLOATER 6
! 466 0 ASSIGN=BLOCKER 6
! 493 0 ASSIGN=FLOATER 7
! 529 0 ASSIGN=EXPLODER 0
! 539 0 ASSIGN=BUILDER 3
! 557 0 ASSIGN=FLOATER 8
! 613 0 ASSIGN=FLOATER 9
! 629 0 ASSIGN=EXPLODER 4
! 634 0 ASSIGN=PLATFORMER 3
! 635 0 ASSIGN=PLATFORMER 3
! 636 0 ASSIGN=PLATFORMER 3
! 637 0 ASSIGN=PLATFORMER 3
! 665 0 ASSIGN=FLOATER 10
! 683 0 ASSIGN=CLIMBER 5
! 698 0 ASSIGN=CLIMBER 9
! 705 0 ASSIGN=CLIMBER 10
! 737 0 ASSIGN=FLOATER 11
! 875 0 ASSIGN=BUILDER 5
! 977 0 ASSIGN=EXPLODER 9
! 1030 0 ASSIGN=PLATFORMER 10
! 1076 0 ASSIGN=EXPLODER 10
! 1080 0 ASSIGN=PLATFORMER 5
! 1135 0 ASSIGN=CLIMBER 7
! 1158 0 ASSIGN=EXPLODER 5
! 1211 0 ASSIGN=BLOCKER 3
! 1290 0 ASSIGN=BUILDER 19
! 1411 0 ASSIGN=BLOCKER 19
! 1432 0 ASSIGN=BUILDER 7
! 1580 0 ASSIGN=BUILDER 7
! 1699 0 ASSIGN=PLATFORMER 7
! 1701 0 ASSIGN=PLATFORMER 7
