$FILENAME single/misc/mobius/builderswonthelpyouhere.txt
$LEVEL_BUILT_REQUIRED 2017-11-23 13:44:48
$GAME_VERSION_REQUIRED 0.9.24

+PLAYER 0 Garden Simon

! 77 0 ASSIGN=CLIMBER 0
! 92 0 ASSIGN=CLIMBER 1
! 100 0 ASSIGN=CLIMBER 2
! 137 0 ASSIGN=DIGGER 0
! 160 0 ASSIGN=DIGGER 1
! 186 0 ASSIGN=DIGGER 2
! 187 0 ASSIGN=BASHER 0
! 195 0 ASSIGN=BASHER 1
! 205 0 ASSIGN=BASHER 2
! 266 0 ASSIGN=DIGGER 0
! 284 0 ASSIGN=BASHER 0
! 335 0 ASSIGN=DIGGER 1
! 356 0 ASSIGN=BASHER 1

$BUILT 2017-11-23 13:44:48
$AUTHOR mobius
$ENGLISH Builders won't help you here

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 1280
#SIZE_Y 400

#INITIAL 40
#REQUIRED 39
#SPAWN_INTERVAL 15

#CLIMBER 10
#BASHER 10
#DIGGER 10
#EXPLODER2 0

:geoo/abstract/hatch.H: 80 192

:geoo/abstract/goal.G: 1072 168

:geoo/abstract/cvblocks/046: 0 272
:geoo/abstract/cvblocks/046: 128 272
:geoo/abstract/cvblocks/046: 256 272
:geoo/abstract/cvblocks/046: 384 272
:geoo/abstract/cvblocks/046: 512 272
:geoo/abstract/cvblocks/035: 320 240
:geoo/abstract/cvblocks/035: 384 240
:geoo/abstract/cvblocks/035: 448 240
:geoo/abstract/cvblocks/035: 512 240
:geoo/abstract/cvblocks/035: 576 240
:geoo/abstract/cvblocks/035: 1024 240
:geoo/abstract/cvblocks/020: 192 256
:geoo/abstract/cvblocks/020: 224 256
:geoo/abstract/cvblocks/020: 256 256
:geoo/abstract/cvblocks/020: 288 256
:geoo/abstract/cvblocks/020: 448 224
:geoo/abstract/cvblocks/020: 480 224
:geoo/abstract/cvblocks/020: 512 224
:geoo/abstract/cvblocks/020: 544 224
:geoo/abstract/cvblocks/005: 192 248
:geoo/abstract/cvblocks/005: 208 248
:geoo/abstract/cvblocks/005: 224 248
:geoo/abstract/cvblocks/005: 240 248
:geoo/abstract/cvblocks/005: 256 248
:geoo/abstract/cvblocks/005: 240 248
:geoo/abstract/cvblocks/005: 256 248
:geoo/abstract/cvblocks/005: 272 248
:geoo/abstract/cvblocks/005: 288 248
:geoo/abstract/cvblocks/005: 304 248
:geoo/abstract/cvblocks/005: 320 232
:geoo/abstract/cvblocks/005: 336 232
:geoo/abstract/cvblocks/005: 352 232
:geoo/abstract/cvblocks/005: 368 232
:geoo/abstract/cvblocks/005: 384 232
:geoo/abstract/cvblocks/005: 368 232
:geoo/abstract/cvblocks/005: 384 232
:geoo/abstract/cvblocks/005: 400 232
:geoo/abstract/cvblocks/005: 416 232
:geoo/abstract/cvblocks/005: 432 232
:geoo/abstract/cvblocks/020: 576 224
:geoo/abstract/cvblocks/020: 608 224
:geoo/abstract/cvblocks/020: 1024 224
:geoo/abstract/cvblocks/020: 1056 224
:geoo/abstract/cvblocks/046: 1024 272
:geoo/abstract/cvblocks/005: 448 216
:geoo/abstract/cvblocks/005: 464 216
:geoo/abstract/cvblocks/005: 480 216
:geoo/abstract/cvblocks/005: 496 216
:geoo/abstract/cvblocks/005: 512 216
:geoo/abstract/cvblocks/005: 496 216
:geoo/abstract/cvblocks/005: 512 216
:geoo/abstract/cvblocks/005: 528 216
:geoo/abstract/cvblocks/005: 544 216
:geoo/abstract/cvblocks/005: 560 216
:geoo/abstract/cvblocks/005: 576 216
:geoo/abstract/cvblocks/005: 592 216
:geoo/abstract/cvblocks/005: 608 216
:geoo/abstract/cvblocks/005: 624 216
:geoo/abstract/cvblocks/005: 624 216
:geoo/abstract/cvblocks/005: 1040 216
:geoo/abstract/cvblocks/005: 1056 216
:geoo/abstract/cvblocks/005: 1072 216
:geoo/abstract/cvblocks/035: 1088 240
:geoo/abstract/cvblocks/020: 1088 224
:geoo/abstract/cvblocks/020: 1120 224
:geoo/abstract/cvblocks/005: 1088 216
:geoo/abstract/cvblocks/005: 1088 216
:geoo/abstract/cvblocks/005: 1104 216
:geoo/abstract/cvblocks/005: 1120 216
:geoo/abstract/cvblocks/005: 1136 216
:geoo/abstract/cvblocks/046: 1152 336
:geoo/abstract/cvblocks/046: 256 336
:geoo/abstract/cvblocks/046: 384 336
:geoo/abstract/cvblocks/046: 512 336
:geoo/abstract/cvblocks/046: 1024 336
:geoo/abstract/cvblocks/046: 0 336
:geoo/abstract/cvblocks/046: 128 336
